,mode,dest_type,region,duration,suburb
0,walking,greenspace,Auckland,4.427304964539007,Grafton
0,walking,all,Auckland,17.43971631205674,Grafton
0,walking,supermarket,Auckland,13.208333333333334,Birkdale North
0,walking,ece,Auckland,4.363505747126437,Birkdale North
0,walking,pharmacy,Auckland,9.048132183908047,Birkdale North
0,walking,doctor,Auckland,10.751436781609195,Birkdale North
0,walking,primary_school,Auckland,6.48132183908046,Birkdale North
0,walking,greenspace,Auckland,5.92816091954023,Birkdale North
0,walking,all,Auckland,15.71264367816092,Birkdale North
0,walking,supermarket,Auckland,25.104265402843602,Beach Haven South
0,walking,ece,Auckland,9.783886255924171,Beach Haven South
0,walking,pharmacy,Auckland,21.318483412322276,Beach Haven South
0,walking,doctor,Auckland,19.480568720379146,Beach Haven South
0,walking,primary_school,Auckland,12.037914691943127,Beach Haven South
0,walking,greenspace,Auckland,0.7421800947867299,Beach Haven South
0,walking,all,Auckland,25.475829383886257,Beach Haven South
0,walking,supermarket,Auckland,9.858257477243173,Karangahape
0,walking,ece,Auckland,4.204161248374512,Karangahape
0,walking,pharmacy,Auckland,3.4785435630689205,Karangahape
